Pal,Index,Primary Element,Secondary Element,Rarity,HP,Attack,Defense,Work Speed,Support,HP Lvl80 Min,HP Lvl80 Max,Attack Lvl80 Min,Attack Lvl80 Max,Defense Lvl80 Min,Defense Lvl80 Max,Combat Rating (/10),Role,Partner Skill,Passive Skill,Mountable,Source URL,Data Date
Loomen,180,Dark,Fire,5,90,100,95,100,100,4500.0,5580.0,700.0,880.0,620.0,791.0,3.0,All-Rounder,Lanterne Enchantée,,False,https://paldb.cc/fr/Loomen,2026-08-06
Wistella,181,Dark,,2,80,90,60,100,100,4100.0,5060.0,640.0,802.0,410.0,518.0,1.7,Attacker,Énergie Noire Secrète,,False,https://paldb.cc/fr/Wistella,2026-08-06
Solenne,182,Dark,Neutral,7,110,115,115,100,100,5300.0,6620.0,790.0,997.0,740.0,947.0,4.2,All-Rounder,Princesse Indomptable,,False,https://paldb.cc/fr/Solenne,2026-08-06
Renjishi,183,Fire,,7,105,120,100,100,100,5100.0,6360.0,820.0,1036.0,650.0,830.0,3.9,All-Rounder,Scène de Combat,,False,https://paldb.cc/fr/Renjishi,2026-08-06
Aegidron,184,Dragon,Ground,8,105,125,140,100,100,5100.0,6360.0,850.0,1075.0,890.0,1142.0,5.0,All-Rounder,Dragon Inébranlable,Poids Lourd,True,https://paldb.cc/fr/Aegidron,2026-08-06
Grizzbolt,185,Electric,,8,120,105,105,100,100,5700.0,7140.0,730.0,919.0,680.0,869.0,3.8,All-Rounder,Tank Jaune,,False,https://paldb.cc/fr/Grizzbolt,2026-08-06
Lyleen,186,Grass,,9,120,120,110,100,100,5700.0,7140.0,820.0,1036.0,710.0,908.0,4.4,All-Rounder,Déesse de la Fertilité,Divinité de la Forêt,False,https://paldb.cc/fr/Lyleen,2026-08-06
Lyleen Noct,186,Dark,,10,115,120,115,100,100,5500.0,6880.0,820.0,1036.0,740.0,947.0,4.4,All-Rounder,Déesse de la Pénombre,,False,https://paldb.cc/fr/Lyleen_Noct,2026-08-06
Orserk,187,Dragon,Electric,9,120,130,115,100,100,5700.0,7140.0,880.0,1114.0,740.0,947.0,4.8,All-Rounder,Dragon Tempétueux,Seigneur des Tempêtes,False,https://paldb.cc/fr/Orserk,2026-08-06
Faleris,188,Fire,,9,105,110,115,100,90,5100.0,6360.0,760.0,958.0,740.0,947.0,4.0,All-Rounder,Prédateur Brûlant,,True,https://paldb.cc/fr/Faleris,2026-08-06
Faleris Aqua,188,Water,,9,110,110,115,100,90,5300.0,6620.0,760.0,958.0,740.0,947.0,4.0,All-Rounder,Prédateur Aquatique,,True,https://paldb.cc/fr/Faleris_Aqua,2026-08-06
Shadowbeak,189,Dark,,10,120,120,140,100,90,5700.0,7140.0,820.0,1036.0,890.0,1142.0,5.1,All-Rounder,Gènes modifiés,,True,https://paldb.cc/fr/Shadowbeak,2026-08-06
Selyne,190,Dark,Neutral,9,130,115,110,100,100,6100.0,7660.0,790.0,997.0,710.0,908.0,4.4,All-Rounder,Ténèbres Célestes,,True,https://paldb.cc/fr/Selyne,2026-08-06
Bastigor,191,Ice,,8,140,130,120,100,100,6500.0,8180.0,880.0,1114.0,770.0,986.0,5.2,All-Rounder,Écrasement Blizzard,,False,https://paldb.cc/fr/Bastigor,2026-08-06
Shaolong,192,Dragon,Water,9,140,135,120,100,100,6500.0,8180.0,910.0,1153.0,770.0,986.0,5.3,All-Rounder,Souverain du Ciel d'Azur,,True,https://paldb.cc/fr/Shaolong,2026-08-06
Silvance,193,Grass,,8,140,120,110,100,100,6500.0,8180.0,820.0,1036.0,710.0,908.0,4.6,All-Rounder,Gardien des Spores,,False,https://paldb.cc/fr/Silvance,2026-08-06
Dandilord,194,Grass,Dark,8,125,135,110,100,100,5900.0,7400.0,910.0,1153.0,710.0,908.0,4.9,All-Rounder,Gardien du Brouillard,,False,https://paldb.cc/fr/Dandilord,2026-08-06
Bellanoir,195,Dark,,20,120,150,100,100,100,5700.0,7140.0,1000.0,1270.0,650.0,830.0,5.0,Attacker,Pupille Cauchemardesque,,False,https://paldb.cc/fr/Bellanoir,2026-08-06
Bellanoir Libero,195,Dark,,20,120,150,100,100,100,5700.0,7140.0,1000.0,1270.0,650.0,830.0,5.0,Attacker,Regard Cauchemardesque,Sorcière,False,https://paldb.cc/fr/Bellanoir_Libero,2026-08-06
Xenolord,196,Dark,Dragon,8,130,120,120,100,100,6100.0,7660.0,820.0,1036.0,770.0,986.0,4.7,All-Rounder,Ailes Météores,"Envahisseur, Organisme Inconnu",True,https://paldb.cc/fr/Xenolord,2026-08-06
Hartalis,197,Neutral,,10,135,130,110,100,100,6300.0,7920.0,880.0,1114.0,710.0,908.0,4.9,All-Rounder,Barrière Sacrée,Sauveur,True,https://paldb.cc/fr/Hartalis,2026-08-06
Paladius,198,Neutral,,20,130,120,145,100,100,6100.0,7660.0,820.0,1036.0,920.0,1181.0,5.3,All-Rounder,Chevalier Céleste,"Légende, Empereur Céleste",True,https://paldb.cc/fr/Paladius,2026-08-06
Necromus,199,Dark,,20,130,145,120,100,100,6100.0,7660.0,970.0,1231.0,770.0,986.0,5.5,All-Rounder,Chevalier Noir Abyssal,"Légende, Seigneur des Enfers",True,https://paldb.cc/fr/Necromus,2026-08-06
Frostallion,200,Ice,,20,140,140,120,100,70,6500.0,8180.0,940.0,1192.0,770.0,986.0,5.5,All-Rounder,Pégase des Glaces,"Légende, Empereur Glacial",True,https://paldb.cc/fr/Frostallion,2026-08-06
Frostallion Noct,200,Dark,,20,140,140,135,100,70,6500.0,8180.0,940.0,1192.0,860.0,1103.0,5.8,All-Rounder,Pégase Noir,"Légende, Seigneur des Enfers",True,https://paldb.cc/fr/Frostallion_Noct,2026-08-06
Neptilius,201,Water,,20,105,145,125,100,100,5100.0,6360.0,970.0,1231.0,800.0,1025.0,5.2,All-Rounder,Conquérant des Océans,"Légende, Trophée des Flots",True,https://paldb.cc/fr/Neptilius,2026-08-06
Jetragon,202,Dragon,,20,115,140,120,100,100,5500.0,6880.0,940.0,1192.0,770.0,986.0,5.1,All-Rounder,Missile Aérien,"Légende, Dragon Divin",False,https://paldb.cc/fr/Jetragon,2026-08-06
Panthalus,203,Water,,10,200,120,180,100,100,8900.0,11300.0,820.0,1036.0,1130.0,1454.0,7.1,Tank,Gardien des Échos,,False,https://paldb.cc/fr/Panthalus,2026-08-06
Astralym,204,,,10,200,200,200,100,100,8900.0,11300.0,1300.0,1660.0,1250.0,1610.0,10.0,All-Rounder,-,,False,https://paldb.cc/fr/Astralym,2026-08-06
Gelée verte,0,Grass,,3,65,70,80,100,100,3500.0,4280.0,520.0,646.0,530.0,674.0,1.4,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Green_Slime,2026-08-06
Gelée bleue,0,Water,,3,70,70,80,100,100,3700.0,4540.0,520.0,646.0,530.0,674.0,1.4,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Blue_Slime,2026-08-06
Gelée rouge,0,Fire,,3,70,75,85,100,100,3700.0,4540.0,550.0,685.0,560.0,713.0,1.7,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Red_Slime,2026-08-06
Gelée violette,0,Dark,,3,75,70,80,100,100,3900.0,4800.0,520.0,646.0,530.0,674.0,1.5,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Purple_Slime,2026-08-06
Gelée lumineuse,0,Neutral,,4,80,75,85,100,100,4100.0,5060.0,550.0,685.0,560.0,713.0,1.9,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Illuminant_Slime,2026-08-06
Gelée arc-en-ciel,0,Neutral,,4,105,95,105,100,100,5100.0,6360.0,670.0,841.0,680.0,869.0,3.3,All-Rounder,Corps Gélatineux,,False,https://paldb.cc/fr/Rainbow_Slime,2026-08-06
Épée envoûtée,0,Neutral,,3,95,105,90,100,100,4700.0,5840.0,730.0,919.0,590.0,752.0,3.1,All-Rounder,Enchantement,,False,https://paldb.cc/fr/Enchanted_Sword,2026-08-06
Chauve-souris des grottes,0,Neutral,,3,65,75,80,100,100,3500.0,4280.0,550.0,685.0,530.0,674.0,1.5,All-Rounder,Soutien de Chauve-souris,,False,https://paldb.cc/fr/Cave_Bat,2026-08-06
Chauve-souris lumineuse,0,Neutral,,4,80,80,95,100,100,4100.0,5060.0,580.0,724.0,620.0,791.0,2.2,All-Rounder,Soutien de Chauve-souris,,False,https://paldb.cc/fr/Illuminant_Bat,2026-08-06
Œil de Cthulhu,0,Dark,,6,125,115,100,100,100,5900.0,7400.0,790.0,997.0,650.0,830.0,4.0,All-Rounder,Ruée de l’Œil de Cthulhu,,False,https://paldb.cc/fr/Eye_of_Cthulhu,2026-08-06
Œil de démon,0,Dark,,3,105,110,95,100,100,5100.0,6360.0,760.0,958.0,620.0,791.0,3.5,All-Rounder,Vision Démoniaque,,False,https://paldb.cc/fr/Demon_Eye,2026-08-06
